id,name,age,height_value,height_unit,weight_kg,date_of_visit,category,score
1,Alice,,1650,mm,62,2025-01-23,a,57
2,Bob,28,167,cm,81,2025-01-17,B,42
3,Charlie,24,173,cm,81,01/02/2025,,57
4,David,28,1705,mm,86,01/16/2025,B,41
5,Eva,25,1704,mm,64,2025-01-09,,200
6,Frank,,178,cm,,2025-01-03,B,200
7,Grace,29,164,cm,56,01/19/2025,a,48
8,Hannah,49,1500,mm,,01/20/2025,b,55
9,Ian,29,1740,mm,55,01/09/2025,b,200
10,Jane,29,1506,mm,46,01/18/2025,C,42
11,Karl,44,158,cm,60,2025-01-11,a,52
12,Liam,45,173,cm,77,2025-01-23,B,46
13,Mona,47,150,cm,82,,B,52
14,Noah,36,157,cm,76,2025-01-20,b,47
15,Olivia,49,173,cm,,2025-01-16,A,55
16,Paul,36,160,cm,88,2025-01-27,,58
17,Quinn,,1606,mm,76,01/19/2025,B,41
18,Rita,31,157,cm,86,01/20/2025,a,58
19,Sam,26,184,cm,66,01/01/2025,C,56
20,Tina,37,184,cm,81,2025-01-11,b,45
21,Uma,24,1802,mm,61,01/08/2025,,50
22,Victor,,154,cm,51,2025-01-03,a,200
23,Wendy,35,188,cm,86,2025-01-03,B,
24,Xavier,19,1770,mm,66,2025-01-14,B,46
25,Yara,27,156,cm,51,,,52
26,Zane,35,158,cm,72,2025-01-04,A,54
27,Asha,27,157,cm,82,2025-01-14,a,47
28,Ben,,161,cm,51,01/08/2025,A,
29,Chloe,25,183,cm,,2025-01-17,a,49
30,Derek,42,1802,mm,81,01/19/2025,B,56
